trip,flight,route,departure,arrival,supplierconfirmationnumber,bookingsiteconfirmationnumber,agencyconfirmationnumber,ticketnumber,purpose,aircraft_registration,aircraft_type,seat,class,notes,cost
2005 Tasmania Trip,QF969,TSV-BNE,2005-01-21T06:00:00+10:00,2005-01-21T07:45:00+10:00,,,,,L,,,,,,
2005 Tasmania Trip,QF613,BNE-MEL,2005-01-21T08:50:00+10:00,2005-01-21T12:05:00+11:00,,,,,L,,,,,,
2005 Tasmania Trip,QF2717,MEL-DPO,2005-01-21T12:40:00+11:00,2005-01-21T13:55:00+11:00,,,,,L,,,,,,
2005 Tasmania Trip,DJ705,HBA-BNE,2005-02-01T13:20:00+11:00,2005-02-01T14:55:00+10:00,,,,,L,VH-VUB,738,,,,
2005 Tasmania Trip,DJ665,BNE-TSV,2005-02-01T18:05:00+10:00,2005-02-01T20:00:00+10:00,,,,,L,,,1F,,,
DSEP Trip #1,QF795,CBR-MEL,2006-09-02T06:45:00+10:00,2006-09-02T07:50:00+10:00,,,,,B,,734,,,,
DSEP Trip #1,QF1011,MEL-HBA,2006-09-02T08:35:00+10:00,2006-09-02T09:50:00+10:00,,,,,B,,73H,,,,
DSEP Trip #1,QF1012,HBA-MEL,2006-09-04T17:00:00+10:00,2006-09-04T18:10:00+10:00,,,,,B,,734,,,,
DSEP Trip #1,QF822,MEL-CBR,2006-09-04T18:50:00+10:00,2006-09-04T19:55:00+10:00,,,,,B,,734,,,,
2006 Tasmania Trip,DJ710,CBR-MEL,2006-11-10T06:50:00+11:00,2006-11-10T07:55:00+11:00,,,,,L,,,,,,
2006 Tasmania Trip,DJ602,MEL-LST,2006-11-10T08:25:00+11:00,2006-11-10T09:25:00+11:00,,,,,L,,,,,,
2006 Tasmania Trip,DJ609,LST-MEL,2006-11-26T16:35:00+11:00,2006-11-26T17:35:00+11:00,,,,,L,,,,,,
2006 Tasmania Trip,DJ723,MEL-CBR,2006-11-26T18:05:00+11:00,2006-11-26T19:05:00+11:00,,,,,L,,,,,,
2007 Launceston Trip,DJ720,CBR-MEL,2007-07-06T17:00:00+10:00,2007-07-06T18:05:00+10:00,,,,,L,,,,,,
2007 Launceston Trip,DJ612,MEL-LST,2007-07-06T21:00:00+10:00,2007-07-06T22:05:00+10:00,,,,,L,,,,,,
2007 Launceston Trip,DJ609,LST-MEL,2007-07-08T16:45:00+10:00,2007-07-08T17:45:00+10:00,,,,,L,,,,,,
2007 Launceston Trip,DJ723,MEL-CBR,2007-07-08T18:15:00+10:00,2007-07-08T19:20:00+10:00,,,,,L,,,,,,
LOED Trip #1,QF1434,CBR-SYD,2007-10-29T17:35:00+11:00,2007-10-29T18:25:00+11:00,,,,,B,,,,,,
LOED Trip #1,QF1441,SYD-CBR,2007-11-01T18:15:00+11:00,2007-11-01T19:05:00+11:00,,,,,B,,,,,,
LOED Trip #2,ZL782,ABX-SYD,2007-11-16T16:55:00+11:00,2007-11-16T18:15:00+11:00,,,,,B,,SF3,,,"Sat in the second row, no idea what the seat number was.",
LOED Trip #2,QF459,SYD-MEL,2007-11-18T18:00:00+11:00,2007-11-18T19:30:00+11:00,,,,,B,,763,,,,
LOED Trip #2,QF822,MEL-CBR,2007-11-23T18:55:00+11:00,2007-11-23T20:00:00+11:00,,,,,B,,734,,,,
2007 Christmas Trip,DJ559,CBR-BNE,2007-12-15T12:40:00+11:00,2007-12-15T13:15:00+10:00,,,,,L,VH-YUM,738,,,,
2007 Christmas Trip,DJ661,BNE-TSV,2007-12-15T14:15:00+10:00,2007-12-15T16:10:00+10:00,,,,,L,VH-VOD,738,,,,
Taiwan Trip,JQ57,CNS-SIN,2008-01-02T13:55:00+10:00,2008-01-02T19:40:00+08:00,,,,,L,9V-JSA,320,12C,,Got the whole exit row to myself.,
Taiwan Trip,3K521,SIN-TPE,2008-01-03T13:00:00+08:00,2008-01-03T17:40:00+08:00,,,,,L,,,11A,,Got the whole exit row to myself.,
Taiwan Trip,AE272,KHH-TSA,2008-01-09T12:00:00+08:00,2008-01-09T12:50:00+08:00,,,,,L,B-12291,100,19C,,,
Taiwan Trip,JQ522,TPE-SIN,2008-01-14T18:25:00+08:00,2008-01-14T23:05:00+08:00,,,,,L,,,12C,,,
Taiwan Trip,TR702,SIN-DRW,2008-01-16T18:10:00+08:00,2008-01-16T00:15:00+09:30,,,,,L,9V-TAE,320,19D,,,
Taiwan Trip,DJ442,DRW-BNE,2008-01-17T01:30:00+09:30,2008-01-17T05:45:00+10:00,,,,,L,,,,,,
Taiwan Trip,DJ1214,BNE-CBR,2008-01-17T09:15:00+10:00,2008-01-17T12:00:00+11:00,,,,,L,,,,,,
2008 Tassie Trip 1,QF853,CBR-MEL,2008-07-11T13:20:00+10:00,2008-07-11T14:25:00+10:00,,,,,L,,,24D,,,
